"Total Transaction Value
($M)","M&A Completion Date
(dd/mm/yyyy)"
5.33,30/06/2021
91.00,16/11/2022
12.03,31/07/2015
1.96,30/10/2015
30.42,02/08/2017
"1,141.01",30/12/2016
1.08,20/02/2020
6.28,20/12/2017
0.87,25/10/2016
14.39,28/12/2021
"1,550.00",17/11/2017
"1,350.00",19/08/2021
25.06,02/01/2019
87.50,30/06/2015
0.02,31/12/2018
5.18,30/04/2016
"5,321.21",14/08/2017
45.33,30/06/2015
0.69,17/01/2017
12.80,01/11/2022
0.75,01/01/2019
9.77,04/12/2019
30.24,02/03/2020
26.77,15/03/2018
2.89,09/07/2021
13.64,11/11/2020
20.05,01/11/2021
187.50,01/08/2022
20.36,19/05/2016
21.48,21/02/2020
5.00,23/08/2017
13.59,31/01/2018
201.84,15/07/2019
321.01,03/09/2018
"1,415.61",16/11/2016
"1,669.02",28/06/2017
253.30,15/07/2022
0.10,12/04/2022
150.00,30/10/2015
19.60,31/07/2019
0.28,26/08/2021
22.43,01/04/2018
3.14,30/11/2016
7.23,24/07/2015
4.24,03/03/2020
10.99,16/10/2020
11.05,05/10/2015
0.69,15/10/2021
47.76,28/11/2019
41.82,24/12/2021
1.04,20/02/2015
21.92,18/12/2022
900.00,02/02/2021
43.50,16/05/2015
12.35,13/01/2016
0.83,01/10/2018
7.30,23/03/2018
50.00,03/04/2017
0.30,25/06/2018
2.03,23/12/2020
21.19,27/06/2018
841.61,21/01/2021
0.75,03/01/2017
700.00,29/01/2016
10.31,29/04/2022
0.06,27/12/2019
194.85,31/12/2018
190.70,03/01/2020
2.99,13/02/2017
32.00,07/06/2016
"1,121.70",24/12/2019
57.31,06/10/2017
21.21,31/03/2019
6.69,02/11/2020
16.25,22/12/2016
10.38,01/11/2018
2.77,30/06/2021
0.05,30/08/2017
1.12,14/09/2016
498.71,01/02/2019
40.10,28/05/2021
350.00,05/10/2017
19.21,01/07/2015
140.00,11/05/2015
1.00,31/12/2018
13.23,14/09/2017
4.00,08/06/2017
100.00,01/08/2022
0.10,10/06/2019
0.29,16/11/2020
0.26,11/03/2015
78.70,22/01/2015
38.30,17/07/2020
11.84,16/03/2021
12.38,24/03/2021
12.32,14/04/2021
12.06,20/04/2021
11.37,10/06/2022
11.10,14/06/2022
11.01,17/10/2022
11.09,24/10/2022
12.29,22/04/2021
12.39,19/05/2021
12.42,26/05/2021
12.13,07/06/2021
12.94,02/12/2021
11.77,16/05/2022
28.00,30/09/2021
"3,753.24",05/03/2021
