"Total Transaction Value
($M)","M&A Completion Date
(dd/mm/yyyy)"
1.05,31/08/2016
57.89,30/06/2017
1.80,18/03/2015
2.60,24/12/2015
20.00,03/08/2017
5.70,17/07/2017
3.30,07/01/2016
100.00,05/01/2022
185.58,01/05/2017
0.68,02/03/2015
50.00,02/03/2015
18.13,02/09/2015
170.62,26/02/2016
517.84,02/03/2016
27.08,06/07/2015
7.72,28/11/2020
5.10,31/03/2020
0.25,26/02/2015
322.89,29/07/2015
307.74,10/07/2015
373.04,26/12/2016
2.36,14/01/2015
99.25,05/12/2019
2.31,01/03/2016
1.00,15/06/2020
700.00,04/09/2018
0.25,06/10/2015
15.60,31/05/2016
5.40,24/06/2016
3.73,01/01/2021
277.24,13/02/2019
0.35,01/12/2018
1.00,25/03/2019
14.70,30/06/2019
"1,893.23",01/04/2015
0.92,01/02/2019
0.31,01/04/2019
4.81,28/02/2019
149.56,25/05/2018
129.00,31/03/2017
1.53,09/03/2015
0.70,19/06/2018
0.69,13/05/2019
0.04,07/10/2020
1.10,07/08/2017
21.75,29/12/2015
6.70,15/02/2019
4.56,31/07/2015
2.25,05/02/2016
2.25,04/09/2015
45.81,04/10/2021
0.10,30/09/2015
308.90,22/12/2015
13.23,01/10/2015
63.00,27/09/2019
"2,367.84",12/08/2019
"1,055.38",19/03/2015
9.46,31/03/2017
112.83,12/02/2019
4.00,30/06/2017
3.20,01/03/2021
5.00,27/04/2016
2.10,01/09/2022
4.74,04/12/2017
20.19,21/12/2017
2.51,15/09/2015
3.53,30/12/2016
0.02,08/01/2021
72.97,01/08/2019
2.29,06/12/2018
502.05,02/04/2018
49.11,30/09/2019
50.65,30/09/2019
16.30,26/07/2018
1.53,07/07/2022
5.07,20/06/2022
13.38,22/04/2022
"2,632.83",08/07/2015
0.17,30/05/2017
185.19,31/07/2017
0.13,19/05/2020
"2,000.00",02/08/2019
20.00,04/05/2020
23.20,09/06/2021
28.10,03/12/2018
59.00,02/07/2019
0.52,11/04/2018
2.03,30/04/2017
0.01,30/09/2016
81.91,08/10/2015
1.80,10/01/2019
8.55,19/03/2018
33.21,08/07/2015
"1,708.98",26/09/2022
0.21,08/11/2016
2.96,23/12/2015
0.31,18/09/2015
7.81,11/05/2016
447.44,29/06/2021
26.78,30/06/2015
9.77,08/04/2015
10.00,20/01/2021
239.91,03/04/2018
145.67,07/12/2015
83.97,01/12/2015
171.78,29/01/2020
1.08,29/06/2022
9.69,30/06/2015
0.13,16/08/2016
23.21,29/04/2019
19.15,02/12/2015
50.42,31/07/2019
305.26,01/03/2019
4.09,31/01/2015
28.10,30/06/2017
724.00,07/06/2018
60.00,01/10/2018
0.00,30/04/2019
80.00,08/06/2015
157.53,17/12/2019
25.76,18/12/2018
3.70,11/01/2018
4.52,14/12/2017
90.00,10/01/2018
1.00,04/08/2020
275.00,05/01/2016
37.10,01/11/2018
47.00,18/12/2015
45.00,28/02/2019
"70,746.51",28/11/2018
107.20,30/11/2018
"1,450.00",01/11/2017
24.80,21/03/2018
32.00,07/12/2020
3.80,27/12/2018
9.01,13/01/2017
41.26,07/02/2019
17.42,10/10/2017
20.60,31/03/2017
64.31,24/07/2018
15.00,31/12/2018
70.87,23/06/2021
0.53,28/02/2018
4.17,21/05/2018
1.11,31/07/2015
345.79,29/07/2022
6.10,24/10/2016
9.43,16/01/2020
959.98,31/07/2019
5.03,21/07/2017
500.00,02/06/2017
0.75,30/08/2017
304.11,17/06/2021
2.50,31/05/2015
2.40,17/11/2020
2.50,01/12/2017
3.17,30/12/2020
2.05,11/04/2018
13.00,25/11/2016
4.77,21/04/2016
0.04,04/12/2020
3.12,28/08/2015
7.25,26/06/2020
80.97,29/05/2018
62.00,12/12/2017
61.00,17/03/2015
36.41,02/06/2017
6.30,26/01/2017
1.81,04/01/2019
18.00,21/10/2015
5.76,19/06/2017
"11,813.02",31/01/2022
164.83,11/12/2018
0.34,19/01/2022
0.77,15/04/2016
0.47,29/12/2022
7.62,04/01/2018
68.40,18/12/2017
75.80,19/01/2016
19.90,23/12/2015
28.00,08/06/2016
396.54,08/10/2015
1.98,08/05/2020
3.11,30/09/2015
120.00,01/09/2015
574.98,14/11/2022
72.53,21/09/2022
"1,394.92",12/05/2016
2.36,13/11/2017
2.99,28/07/2015
0.06,17/09/2015
275.80,14/07/2016
38.00,23/03/2020
1.40,30/06/2016
12.77,01/09/2018
72.01,31/12/2021
10.00,01/02/2018
39.68,16/04/2018
47.60,13/09/2019
99.74,11/10/2016
174.94,23/02/2022
26.00,20/05/2020
6.70,01/01/2015
154.90,03/04/2019
7.65,01/10/2018
32.71,06/10/2022
13.15,02/04/2018
4.80,12/10/2022
2.56,31/03/2015
0.02,30/03/2017
29.75,15/04/2016
3.55,09/10/2020
3.31,11/11/2019
144.47,30/11/2015
63.00,01/08/2018
0.36,20/01/2021
17.50,15/03/2015
11.07,01/04/2019
3.20,30/12/2015
160.44,12/07/2021
2.13,01/06/2017
12.50,20/05/2019
0.52,28/12/2016
0.35,30/09/2016
0.03,25/01/2019
30.01,26/03/2015
8.47,04/02/2021
2.30,31/03/2021
100.77,01/08/2016
21.36,10/01/2019
10.00,17/11/2016
320.00,30/04/2019
41.80,01/10/2021
0.03,31/07/2017
2.57,20/09/2016
131.67,01/10/2021
0.04,14/07/2017
680.48,03/05/2021
"11,987.37",23/09/2022
57.98,22/10/2020
56.00,17/02/2015
34.34,17/07/2017
6.82,18/05/2015
10.00,11/11/2016
6.20,31/03/2015
128.09,31/12/2019
0.01,20/04/2020
"2,368.74",03/01/2020
0.34,18/11/2019
22.75,23/10/2015
19.50,27/02/2015
12.01,02/10/2019
10.00,30/10/2016
24.51,05/11/2020
50.22,20/01/2022
149.25,19/02/2021
7.88,11/10/2015
1.58,11/10/2015
1.58,11/10/2015
346.00,30/04/2017
48.34,28/04/2017
295.00,15/10/2017
230.72,04/12/2020
4.36,22/02/2022
70.01,01/08/2019
2.68,23/12/2020
4.37,29/09/2018
17.27,01/04/2016
0.00,27/07/2020
0.01,27/07/2020
0.73,27/08/2021
57.70,09/02/2021
47.08,15/12/2017
90.00,14/07/2020
134.74,09/10/2015
46.02,18/07/2019
2.80,28/05/2015
0.03,30/11/2018
0.26,18/09/2017
0.00,30/06/2020
7.00,28/04/2016
50.00,22/02/2017
237.00,07/03/2018
0.10,13/10/2016
0.60,12/12/2016
36.48,30/10/2020
3.83,23/12/2021
100.45,05/03/2018
36.20,31/01/2020
0.59,26/02/2020
10.00,19/04/2016
50.06,26/02/2016
0.21,10/10/2019
0.30,28/09/2020
14.35,23/02/2016
100.00,16/11/2021
50.00,16/12/2021
40.40,31/08/2021
13.90,21/04/2015
14.13,18/11/2019
0.03,18/06/2017
9.23,29/10/2015
0.78,01/07/2016
32.01,07/06/2015
32.01,08/06/2015
208.80,03/02/2017
605.00,26/08/2021
94.27,02/02/2016
1.55,21/01/2018
0.45,14/01/2019
34.44,24/01/2019
2.30,21/06/2018
526.27,10/12/2020
270.77,04/07/2017
15.05,10/09/2018
0.02,01/01/2018
1.58,28/07/2016
2.89,21/09/2021
"1,150.98",04/03/2015
55.00,09/02/2015
29.32,09/09/2015
13.37,04/09/2018
40.84,08/12/2015
75.11,03/03/2016
4.64,21/06/2018
11.54,23/12/2020
34.00,04/04/2019
1.86,31/01/2018
54.40,14/09/2021
10.00,25/05/2017
0.82,30/10/2020
453.36,18/05/2016
0.90,28/02/2020
2.98,28/04/2015
0.00,25/03/2016
7.58,01/01/2021
446.84,06/09/2022
15.20,04/10/2017
0.00,19/07/2018
28.39,23/12/2016
43.14,06/12/2020
0.76,09/07/2020
10.34,05/05/2020
161.52,01/07/2021
0.53,08/10/2018
10.77,10/09/2020
44.22,31/10/2015
5.45,24/08/2022
272.26,01/05/2019
100.62,07/02/2022
17.50,12/12/2016
"2,323.86",30/11/2021
8.00,10/02/2020
6.10,07/12/2018
23.85,21/11/2017
40.84,22/06/2015
3.64,12/12/2017
5.17,26/11/2018
18.42,24/11/2019
12.35,22/09/2015
5.52,12/06/2018
6.00,06/12/2015
8.51,14/12/2016
6.04,14/07/2021
89.00,31/12/2017
2.77,01/11/2015
0.99,14/11/2016
1.25,04/08/2019
1.12,17/01/2017
21.60,28/10/2015
454.00,10/04/2015
907.00,27/02/2015
3.89,30/06/2016
"1,583.46",12/01/2022
0.32,23/03/2021
1.10,15/03/2022
3.50,30/09/2017
0.06,07/05/2018
15.00,01/06/2015
0.89,19/03/2020
0.13,19/03/2020
4.42,05/09/2017
10.07,19/09/2017
0.15,30/05/2018
43.03,20/10/2017
16.50,04/05/2020
17.44,03/05/2022
33.45,03/06/2019
200.00,07/03/2017
0.83,08/04/2016
900.00,29/11/2019
0.02,12/03/2020
9.64,12/10/2021
"6,169.15",16/06/2019
4.77,02/03/2015
"1,268.18",04/01/2021
0.02,30/09/2020
0.12,31/03/2016
6.88,28/09/2016
1.00,01/02/2018
579.97,21/12/2018
15.61,22/09/2017
131.59,31/01/2020
7.25,08/06/2022
49.72,28/01/2021
365.10,27/07/2022
0.06,30/11/2016
35.03,01/11/2016
17.22,01/10/2019
35.72,19/01/2021
224.31,11/09/2015
138.59,10/03/2017
"1,508.52",14/03/2018
13.21,21/01/2016
1.94,20/09/2020
33.40,04/05/2021
400.00,01/09/2021
13.55,24/08/2016
0.89,14/08/2018
0.06,01/07/2017
2.43,07/12/2018
2.49,07/12/2018
2.05,30/06/2017
6.30,24/04/2015
205.62,30/06/2016
525.00,27/02/2015
259.50,01/10/2019
"1,129.61",27/12/2017
0.28,15/01/2016
1.14,07/01/2020
134.00,20/06/2017
54.17,05/05/2020
10.91,01/11/2022
3.39,29/01/2021
135.30,31/01/2020
0.11,23/01/2019
2.79,31/12/2015
1.77,15/08/2021
0.70,05/10/2015
1.41,24/09/2021
10.37,04/08/2021
0.90,26/09/2017
10.00,02/03/2017
0.92,15/08/2018
35.10,31/05/2015
89.60,29/11/2019
85.83,02/10/2017
2.35,06/06/2019
252.35,24/12/2021
117.00,31/08/2018
800.00,12/10/2021
5.26,28/02/2017
14.88,07/06/2021
199.30,07/02/2017
417.24,09/03/2016
1.50,01/12/2017
19.73,13/12/2019
16.60,18/01/2018
178.69,28/06/2020
0.03,31/03/2016
"1,303.68",08/11/2018
575.00,21/10/2021
89.97,21/12/2015
5.40,23/04/2019
"5,600.00",18/12/2020
196.87,01/12/2021
13.00,31/08/2021
575.00,31/07/2021
1.38,31/12/2017
1.85,18/09/2020
181.02,19/11/2019
1.43,31/10/2019
185.00,31/05/2018
6.73,09/12/2021
4.44,31/03/2021
4.60,28/08/2018
11.16,01/01/2019
1.50,28/04/2017
0.50,19/12/2017
12.25,31/05/2020
10.40,20/09/2017
17.50,07/03/2018
1.30,01/09/2021
0.40,31/12/2015
2.23,20/10/2016
20.00,05/06/2019
100.00,06/03/2015
10.50,13/07/2018
11.50,01/06/2018
5.80,01/10/2018
925.60,31/01/2020
96.95,05/11/2020
2.40,26/04/2018
0.60,25/10/2017
170.20,22/01/2022
4.15,06/01/2018
47.90,30/12/2020
0.42,31/08/2018
4.51,09/01/2018
9.20,12/01/2018
5.30,23/06/2021
20.32,14/05/2019
5.80,31/03/2021
3.89,01/05/2019
3.93,23/01/2018
24.80,10/05/2019
0.75,02/11/2018
62.50,10/11/2020
0.10,20/08/2020
0.22,29/12/2017
0.33,06/08/2021
3.40,04/01/2019
33.20,26/04/2018
7.43,25/06/2019
0.03,31/12/2018
45.25,10/10/2018
1.65,30/01/2018
0.57,15/05/2019
1.65,04/09/2018
8.90,16/03/2019
0.44,30/09/2018
16.16,15/02/2019
33.25,26/03/2018
22.40,24/08/2019
41.73,01/01/2020
0.03,04/11/2017
6.22,19/12/2017
2.23,01/08/2019
"1,500.00",31/01/2019
20.50,30/04/2019
4.05,13/11/2019
8.50,10/04/2020
17.33,31/05/2018
14.34,18/10/2021
9.00,26/10/2020
2.67,28/09/2016
4.00,29/05/2020
15.00,12/03/2019
0.76,13/11/2018
13.00,26/04/2019
0.50,05/03/2019
11.92,30/11/2018
11.20,04/06/2019
0.58,19/03/2020
2.19,23/04/2018
0.15,01/05/2019
0.10,08/05/2018
12.15,16/11/2018
42.75,01/06/2018
5.90,15/05/2017
0.30,13/10/2020
46.50,08/02/2022
120.24,01/06/2020
69.60,11/09/2019
6.49,25/11/2019
2.50,17/06/2018
16.30,04/12/2019
6.05,17/10/2019
12.50,28/01/2019
9.50,31/12/2017
5.10,08/01/2019
3.76,30/04/2021
"2,149.01",14/03/2022
1.38,17/12/2017
2.65,20/01/2016
8.90,09/05/2019
100.65,06/04/2021
3.88,13/03/2019
0.20,06/09/2017
1.08,12/04/2018
28.75,09/08/2016
0.31,31/10/2015
2.91,30/06/2022
3.40,12/02/2019
150.00,02/08/2018
203.00,17/04/2018
60.00,31/08/2018
7.27,13/04/2018
101.20,21/08/2018
36.00,09/10/2020
15.35,12/11/2019
3.35,04/05/2018
0.37,09/01/2018
1.03,30/04/2021
0.04,10/05/2019
0.35,01/01/2017
9.77,02/02/2021
16.39,05/11/2019
0.33,28/12/2018
0.77,25/03/2019
43.59,21/09/2017
242.18,31/12/2016
522.54,27/08/2015
0.33,20/07/2022
198.00,06/09/2022
0.35,29/07/2021
0.40,29/01/2016
18.20,01/10/2020
0.90,22/11/2022
5.50,18/06/2019
0.40,02/07/2018
7.50,26/04/2022
12.50,09/04/2018
87.50,07/02/2019
0.23,09/11/2022
2.81,13/10/2020
0.31,01/05/2019
220.00,15/11/2022
16.00,30/11/2020
2.31,24/04/2020
0.78,30/06/2022
133.00,01/06/2022
9.00,04/12/2015
7.08,01/09/2015
0.27,11/05/2020
41.11,01/06/2016
2.43,06/09/2022
35.66,04/07/2016
1.46,06/03/2020
2.30,29/02/2020
957.69,01/09/2020
3.20,26/12/2019
40.86,05/07/2021
3.67,13/12/2017
3.69,01/02/2019
3.88,03/09/2019
32.13,15/03/2019
200.00,02/02/2018
0.18,30/06/2022
2.47,01/05/2019
0.57,15/11/2017
0.50,25/03/2021
0.90,01/06/2021
0.10,28/02/2020
0.24,13/12/2021
14.00,30/11/2022
40.99,11/09/2015
0.38,15/01/2021
444.72,12/02/2020
24.58,30/09/2016
0.04,28/09/2017
0.07,30/12/2015
58.82,31/08/2021
0.14,28/02/2020
133.67,05/10/2015
"11,569.36",19/10/2022
57.70,07/04/2017
104.73,23/01/2019
34.90,01/08/2019
20.00,22/12/2016
"1,284.38",21/11/2017
330.07,20/10/2022
80.04,11/08/2016
22.00,08/07/2016
2.80,31/03/2018
97.54,09/10/2015
4.27,08/01/2016
21.90,01/01/2016
9.10,01/04/2020
24.00,01/08/2019
8.16,16/03/2016
18.08,10/09/2021
0.96,27/11/2018
0.26,09/12/2021
0.79,01/06/2017
44.05,01/12/2020
101.95,07/08/2019
41.03,01/04/2017
50.83,01/07/2019
70.30,30/04/2015
124.29,30/04/2019
39.27,30/04/2019
0.12,25/07/2022
174.58,31/03/2017
12.98,30/06/2017
"1,032.98",31/01/2020
21.71,29/03/2018
55.70,11/12/2015
"2,625.00",02/01/2018
13.80,27/11/2015
1.52,04/10/2017
0.71,31/07/2020
2.07,03/11/2022
105.60,01/02/2016
14.08,29/11/2016
92.29,25/11/2020
1.58,30/06/2017
"4,262.53",06/07/2017
222.50,17/08/2017
733.50,27/09/2022
9.51,28/02/2022
22.48,16/12/2016
78.54,24/08/2020
"4,541.99",30/12/2021
146.09,31/01/2015
23.63,31/12/2020
1.28,25/10/2017
20.14,31/01/2020
5.84,10/06/2016
85.00,13/08/2015
0.00,21/07/2016
20.00,12/05/2017
"4,250.00",01/11/2021
400.00,30/09/2021
2.21,31/12/2021
18.55,26/06/2019
14.04,20/11/2018
18.21,05/11/2015
556.00,31/03/2015
125.00,31/12/2021
304.82,30/11/2020
124.84,30/04/2020
27.65,08/03/2016
38.65,17/10/2016
530.00,16/05/2022
0.01,25/03/2019
4.00,31/12/2015
0.00,19/09/2016
66.01,02/06/2015
4.19,29/09/2020
194.98,30/09/2017
0.86,21/05/2020
2.05,05/12/2017
1.37,09/05/2016
55.50,18/07/2022
56.20,11/04/2017
620.00,03/08/2022
1.64,31/08/2015
11.85,04/10/2022
"1,569.40",02/07/2020
993.70,26/08/2021
16.81,16/01/2015
13.19,29/07/2016
0.01,05/01/2017
17.69,13/07/2018
0.00,30/06/2019
750.00,07/12/2018
13.27,19/09/2019
0.06,22/02/2021
3.60,01/04/2021
18.98,22/02/2022
3.04,14/06/2021
64.00,15/06/2018
80.00,01/09/2016
174.76,28/02/2018
8.27,14/07/2021
30.90,12/08/2016
57.30,29/04/2019
3.43,06/02/2017
0.07,11/02/2020
98.00,26/04/2021
49.98,17/04/2018
0.03,15/06/2015
67.00,21/12/2018
55.00,02/01/2018
33.73,11/03/2019
25.21,24/04/2019
0.90,09/02/2016
853.08,30/09/2021
0.45,14/01/2019
279.35,07/09/2018
409.70,27/06/2019
84.62,01/11/2019
0.02,14/03/2022
0.89,30/03/2017
30.00,27/08/2019
2.78,13/05/2016
6.09,23/12/2020
910.00,12/08/2015
1.00,31/12/2015
224.91,19/12/2016
846.23,15/03/2021
203.57,11/12/2015
4.04,02/11/2017
321.00,10/03/2016
0.73,01/03/2022
8.18,02/12/2021
84.00,04/10/2019
"12,150.00",19/05/2021
"48,584.85",01/12/2021
2.37,29/12/2017
1.26,25/09/2018
10.00,07/12/2020
295.00,02/08/2022
99.89,31/07/2016
7.90,19/07/2017
7.42,03/04/2017
54.68,28/07/2016
7.04,13/01/2016
8.06,14/09/2015
0.01,16/11/2015
83.60,02/03/2015
430.12,09/07/2021
"1,000.00",06/05/2021
1.75,31/08/2016
0.05,13/04/2018
2.02,28/03/2017
25.00,07/07/2017
0.00,27/10/2020
18.60,10/08/2016
10.00,29/05/2015
3.90,18/10/2017
0.29,29/03/2018
16.00,12/04/2021
4.37,02/03/2015
30.58,25/04/2021
4.06,17/05/2018
1.16,13/03/2017
40.84,14/11/2017
0.02,02/12/2020
0.10,28/09/2016
0.16,28/09/2016
27.93,13/07/2015
4.13,06/02/2017
115.13,31/07/2015
32.21,23/05/2016
0.73,30/06/2018
6.10,14/09/2017
2.10,05/01/2015
115.73,03/05/2021
0.01,27/05/2015
0.03,08/06/2015
46.60,18/04/2019
28.60,08/12/2015
36.50,27/10/2017
257.75,04/02/2021
215.00,01/06/2015
334.25,03/04/2017
371.00,29/04/2016
17.40,15/10/2017
71.94,31/12/2015
1.95,04/11/2015
0.63,31/05/2018
21.51,04/09/2015
80.00,10/09/2019
247.63,23/09/2021
370.00,01/04/2021
69.32,30/06/2016
36.00,01/12/2020
9.20,30/04/2016
14.07,14/09/2018
17.00,15/06/2015
44.00,18/04/2016
562.00,01/07/2016
"3,338.88",03/01/2017
64.90,21/03/2016
"1,000.00",19/05/2016
485.10,24/08/2016
236.07,31/07/2017
2.60,09/06/2022
27.62,23/07/2015
21.89,01/03/2016
176.90,01/05/2020
"1,296.92",16/12/2021
14.38,06/11/2015
44.17,31/03/2015
4.34,21/10/2022
17.37,15/03/2018
21.00,23/01/2015
41.60,09/09/2021
17.85,31/08/2016
59.80,01/11/2022
2.60,24/06/2021
"5,110.51",25/05/2022
47.11,15/03/2021
7.30,01/02/2017
"1,542.06",01/06/2017
113.70,01/01/2015
1.29,14/03/2016
0.30,31/03/2017
123.25,06/08/2021
15.00,31/08/2018
97.94,01/10/2021
0.30,30/09/2018
600.00,02/07/2018
44.96,01/07/2016
19.80,03/12/2016
70.00,16/06/2017
31.52,30/12/2020
7.00,31/12/2017
44.54,31/07/2018
0.08,31/12/2017
89.50,28/02/2017
"1,220.00",07/04/2021
390.00,10/07/2015
"1,000.00",18/03/2020
15.17,02/06/2015
53.00,16/11/2022
31.38,30/01/2015
14.60,30/04/2022
32.00,12/09/2016
19.00,28/12/2016
3.90,28/02/2018
3.14,08/08/2018
16.00,10/05/2019
0.03,31/03/2017
48.95,01/11/2017
44.91,01/09/2015
21.08,01/08/2020
1.53,31/05/2022
80.10,28/08/2018
59.18,18/01/2021
144.09,31/05/2017
"4,883.74",29/01/2016
8.40,30/09/2017
28.30,01/10/2018
339.43,01/09/2020
90.00,12/12/2018
27.85,05/02/2021
44.19,07/07/2020
267.00,09/03/2015
14.86,01/10/2020
272.80,24/09/2021
117.00,07/07/2021
1.05,18/11/2019
39.61,01/02/2022
1.87,20/06/2022
1.25,05/01/2018
362.00,01/06/2015
993.00,23/02/2022
NA,29/04/2020
38.02,25/08/2022
"1,390.14",29/11/2018
71.00,12/07/2019
2.27,23/06/2016
52.43,01/01/2022
15.13,21/06/2019
46.00,20/01/2015
2.13,28/06/2022
18.11,20/10/2016
1.61,08/11/2022
1.27,04/10/2016
0.22,10/11/2016
0.00,23/05/2021
44.75,06/05/2015
60.04,14/02/2022
4.00,15/12/2021
588.00,30/06/2016
460.00,13/10/2021
1.51,27/04/2018
3.48,09/11/2021
0.18,10/01/2018
727.98,01/12/2020
70.00,18/02/2022
226.00,07/11/2019
11.71,30/04/2021
13.64,29/07/2020
11.96,07/01/2021
10.48,08/09/2016
64.24,15/11/2018
463.22,01/05/2016
332.28,01/11/2017
47.00,13/04/2018
0.03,31/10/2018
153.53,14/02/2019
24.20,11/03/2015
80.30,01/07/2021
5.00,13/03/2020
129.96,07/09/2021
0.86,05/10/2022
0.84,15/11/2022
4.89,24/01/2018
7.90,28/09/2018
0.92,08/06/2017
10.00,01/06/2018
0.04,27/04/2015
0.04,01/07/2015
1.26,31/01/2021
3.04,31/03/2020
129.40,20/07/2021
0.04,18/09/2015
15.00,25/07/2018
6.66,28/02/2017
20.04,20/08/2020
11.08,15/12/2020
401.93,01/06/2021
20.09,05/11/2020
0.00,06/12/2019
11.22,30/03/2016
606.09,16/12/2022
22.64,04/11/2015
4.92,30/09/2015
24.50,30/01/2018
1.05,07/03/2022
2.85,02/12/2016
160.84,11/05/2017
119.97,24/07/2015
93.71,23/04/2015
5.08,24/08/2021
1.60,13/10/2021
17.82,28/06/2021
8.80,23/10/2019
43.05,23/11/2022
60.22,27/02/2016
2.35,28/11/2015
60.87,31/07/2015
7.58,04/06/2021
6.28,23/12/2021
142.24,10/09/2015
1.43,30/09/2019
22.28,28/12/2015
0.63,23/12/2015
8.64,27/02/2016
4.06,24/09/2017
382.81,30/12/2020
2.37,08/03/2018
2.11,30/10/2017
1.68,01/01/2015
4.71,23/12/2019
39.29,22/03/2018
19.00,13/04/2015
23.90,09/10/2020
1.23,07/07/2016
17.20,20/12/2022
341.37,11/07/2018
14.53,24/04/2017
7.10,04/01/2022
9.45,29/01/2015
31.68,22/06/2022
2.68,06/04/2021
235.26,25/06/2015
36.90,27/05/2016
11.25,21/09/2018
25.33,06/02/2019
14.46,23/11/2017
560.27,13/08/2015
0.38,19/06/2021
4.85,11/09/2017
71.90,11/06/2018
0.58,03/12/2020
67.82,02/01/2020
1.46,01/03/2016
4.70,22/03/2018
29.14,31/12/2016
"8,306.29",30/06/2017
0.15,01/10/2021
0.00,17/05/2019
1.32,15/08/2021
4.82,08/09/2021
656.37,13/12/2019
126.30,15/10/2015
5.70,26/02/2020
3.82,21/02/2017
532.42,01/04/2017
7.04,07/08/2017
1.54,10/01/2018
0.17,27/05/2017
10.72,31/07/2018
123.70,31/12/2016
0.00,10/12/2019
4.01,01/05/2019
145.00,07/10/2021
22.32,14/09/2015
203.28,07/11/2016
120.64,30/06/2016
"2,238.90",19/03/2021
163.51,31/08/2022
56.14,13/12/2022
36.52,05/01/2018
4.39,30/04/2020
8.41,26/08/2019
7.58,14/12/2020
1.18,10/05/2019
0.03,06/10/2017
0.79,24/02/2017
0.32,08/05/2020
35.93,17/11/2016
15.12,30/11/2021
82.40,19/08/2019
569.55,31/01/2020
3.79,01/04/2021
4.62,29/08/2017
6.62,27/02/2019
129.83,18/10/2017
1.61,09/04/2020
153.43,31/12/2015
15.00,01/09/2021
4.80,06/07/2019
34.84,08/07/2020
0.32,18/06/2015
23.22,27/12/2019
0.97,16/03/2021
27.93,28/05/2018
4.03,22/06/2015
0.01,29/04/2015
34.95,14/12/2018
1.23,04/01/2016
391.00,28/10/2015
11.30,04/11/2022
110.00,30/06/2015
37.36,07/06/2018
5.11,01/11/2021
102.39,29/09/2017
"1,100.00",01/02/2021
31.80,04/01/2016
725.00,12/09/2016
0.02,21/09/2015
0.05,18/10/2017
0.04,05/06/2015
145.87,01/06/2016
1.24,09/03/2022
23.00,05/02/2018
200.00,11/10/2018
"1,746.62",01/07/2021
0.48,16/03/2016
70.13,23/12/2021
35.57,03/04/2019
21.76,22/04/2019
78.32,03/07/2018
350.00,17/05/2016
0.06,24/03/2020
41.27,01/08/2017
21.72,17/04/2015
19.78,27/07/2018
0.62,01/08/2017
63.48,01/12/2020
0.00,28/01/2022
9.99,13/04/2022
0.17,28/05/2017
13.68,12/04/2021
484.77,01/11/2018
224.50,19/12/2018
150.20,07/10/2022
0.05,30/12/2015
207.67,09/01/2020
23.52,31/12/2016
2.30,13/07/2022
435.33,31/08/2016
"4,027.00",27/05/2022
1.26,25/10/2016
NA,07/09/2018
144.10,23/12/2019
188.58,02/07/2021
0.65,07/12/2022
27.46,01/07/2022
0.57,08/07/2019
0.01,18/02/2016
415.00,13/09/2021
18.16,18/03/2015
47.90,03/12/2016
100.00,06/03/2015
12.17,29/06/2021
1.84,05/11/2020
14.80,31/12/2018
8.80,16/02/2016
22.14,01/06/2016
1.70,06/08/2022
174.63,23/09/2022
14.20,01/09/2017
2.66,30/09/2015
3.61,27/02/2020
22.50,27/07/2016
0.15,27/11/2018
10.59,18/09/2015
30.13,08/04/2021
1.59,21/09/2015
"1,825.00",01/10/2021
1.75,31/07/2015
113.34,25/02/2015
5.08,31/12/2021
42.00,31/05/2015
30.00,10/02/2015
37.29,04/06/2021
12.59,31/05/2019
0.43,25/09/2015
1.26,26/05/2022
4.03,10/07/2015
0.02,28/09/2017
11.39,30/01/2020
5.01,31/03/2017
643.24,13/06/2019
103.12,31/12/2019
60.00,14/10/2019
186.70,27/01/2021
2.58,28/08/2015
0.00,06/12/2021
14.84,21/01/2020
0.13,25/02/2015
7.73,20/09/2017
2.44,30/08/2016
19.92,20/12/2021
72.01,28/06/2021
0.00,05/02/2019
48.30,30/10/2020
3.33,02/02/2015
9.76,26/12/2019
127.89,01/10/2021
4.55,29/06/2018
135.00,31/12/2019
7.02,31/10/2018
0.12,23/09/2016
1.83,02/10/2020
"5,009.55",20/01/2022
585.13,11/04/2017
680.40,11/04/2017
35.32,23/10/2019
"1,120.16",08/02/2017
2.59,04/06/2016
6.94,08/12/2021
1.33,18/11/2020
2.29,11/12/2019
1.18,19/08/2020
1.47,04/10/2020
344.20,15/07/2020
0.35,01/11/2018
21.42,02/07/2018
33.43,22/06/2017
19.83,10/05/2021
25.50,24/06/2022
300.00,09/11/2018
0.01,08/06/2020
0.98,03/08/2020
4.93,04/04/2016
92.49,15/04/2015
0.51,30/01/2019
11.70,05/02/2015
0.11,07/10/2015
171.00,16/12/2022
29.85,31/01/2022
1.73,23/09/2021
2.03,08/07/2021
0.55,31/12/2015
0.69,02/03/2020
9.98,29/04/2015
154.84,22/07/2019
104.28,22/12/2015
43.14,22/12/2015
549.58,07/08/2018
37.59,06/09/2021
0.15,05/07/2016
842.06,30/06/2019
6.90,26/11/2021
20.66,17/10/2019
12.20,19/01/2017
"1,994.00",26/04/2022
96.79,30/10/2020
0.18,01/03/2017
375.00,31/01/2022
1.88,03/09/2016
75.05,17/12/2015
81.53,01/07/2017
"2,025.65",14/06/2021
0.35,02/01/2019
0.14,05/02/2020
2.13,30/04/2015
88.30,31/12/2015
6.96,30/07/2015
1.85,31/07/2017
6.17,28/04/2022
0.05,15/06/2016
126.30,31/12/2019
0.01,04/03/2020
174.84,01/04/2022
0.17,13/02/2015
16.15,07/09/2015
